"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","key_press","button_pressed","type","corrResp","givenResp","acc"
"","38","html-button-response","91","13119","0.0-3.0-0.88","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अनाकष्ट<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","92","13156","0.0-3.0-0.89","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>समय<br><br></div>","","1","word","m","m","1"
"","33","html-button-response","93","13191","0.0-3.0-0.90","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>मुखाग्नि<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","94","13229","0.0-3.0-0.91","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अखिश<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","95","13265","0.0-3.0-0.92","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>लालायित<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","96","13303","0.0-3.0-0.93","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अपजत<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","97","13341","0.0-3.0-0.94","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अतीत<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","98","13379","0.0-3.0-0.95","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>जटिदी<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","99","13416","0.0-3.0-0.96","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>क्रंदन<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","100","13455","0.0-3.0-0.97","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>उतयंक<br><br></div>","","1","nonword","z","m","0"
"","34","html-button-response","101","13490","0.0-3.0-0.98","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>प्रकोप<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","102","13527","0.0-3.0-0.99","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>समृद्ध<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","103","13565","0.0-3.0-0.100","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>निहित<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","104","13603","0.0-3.0-0.101","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>प्रथा<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","105","13640","0.0-3.0-0.102","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>साही<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","106","13677","0.0-3.0-0.103","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>सलहज<br><br></div>","","1","word","m","m","1"
"","null","html-keyboard-response","107","13678","0.0-4.0","","","null","","","","",""
